2019-02-14 18:44:57.342 [restartedMain] INFO  com.guanghe.onion.YcApiApplication - Starting YcApiApplication on renjiedeMacBook-Pro.local with PID 3782 (/Users/renjie/IdeaProjects/YcAPI/target/classes started by renjie in /Users/renjie/IdeaProjects/YcAPI)
2019-02-14 18:44:57.346 [restartedMain] INFO  com.guanghe.onion.YcApiApplication - No active profile set, falling back to default profiles: default
2019-02-14 18:44:57.415 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-02-14 18:44:57.415 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-02-14 18:44:58.648 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.guanghe.onion]' package. Please check your configuration.
2019-02-14 18:44:58.725 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-02-14 18:44:58.832 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95ms. Found 1 repository interfaces.
2019-02-14 18:44:59.370 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$10c6de14] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-14 18:44:59.950 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-02-14 18:44:59.965 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-02-14 18:44:59.974 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-02-14 18:44:59.974 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2019-02-14 18:44:59.990 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/renjie/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-02-14 18:45:00.207 [restartedMain] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2019-02-14 18:45:00.210 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-02-14 18:45:00.210 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2795 ms
